Target,Model,Test_MAE,Test_RMSE,Test_MAPE,Test_R2
NAV_15D,LSTM,20.2268,173.6071,4.5045,0.5466
NAV_15D,LightGBM,19.2879,171.4513,2.5314,0.5396
NAV_15D,Transformer,46.8105,225.8427,16.0864,0.4275
NAV_15D,XGBoost,20.624,175.1587,3.0963,0.5195
NAV_30D,LSTM,20.0926,174.797,5.4039,0.5447
NAV_30D,LightGBM,22.1814,174.6573,3.9602,0.5276
NAV_30D,Transformer,42.6733,230.1222,15.2934,0.4074
NAV_30D,XGBoost,22.4011,178.5067,3.4142,0.5065
NAV_90D,LSTM,19.6471,173.2165,3.9298,0.5683
NAV_90D,LightGBM,24.6717,180.8916,3.9164,0.5123
NAV_90D,Transformer,40.1869,228.6913,13.0252,0.4219
NAV_90D,XGBoost,27.0593,185.0697,4.7899,0.4895
NAV_180D,LSTM,22.8532,182.602,5.5274,0.5432
NAV_180D,LightGBM,25.4777,185.0157,4.5017,0.5159
NAV_180D,Transformer,43.9923,235.8528,18.5867,0.3957
NAV_180D,XGBoost,27.9216,193.1459,4.8076,0.4724
NAV_270D,LSTM,25.4462,186.0896,7.2557,0.5461
NAV_270D,LightGBM,24.5569,189.5237,3.6191,0.5156
NAV_270D,Transformer,44.2456,230.3835,16.4813,0.4331
NAV_270D,XGBoost,29.4523,197.2762,5.3807,0.4751
NAV_365D,LSTM,25.694,191.2837,5.9699,0.5408
NAV_365D,LightGBM,28.0726,193.412,5.0666,0.5166
NAV_365D,Transformer,43.8716,237.6877,15.3105,0.4073
NAV_365D,XGBoost,30.81,201.1653,6.1408,0.4771
NAV_730D,LSTM,40.4707,221.7687,16.2491,0.4943
NAV_730D,LightGBM,39.7562,221.6185,8.2679,0.4782
NAV_730D,Transformer,43.2807,247.255,23.4865,0.4104
NAV_730D,XGBoost,44.9772,228.5694,12.005,0.445
NAV_1095D,LSTM,29.7308,208.4543,6.28,0.6434
NAV_1095D,LightGBM,42.1818,227.2875,10.6925,0.5588
NAV_1095D,Transformer,46.6385,220.9717,19.7912,0.5995
NAV_1095D,XGBoost,45.1483,228.6394,16.0009,0.5535
